Date (Monthly +00:00: 12/01/2019 - 12/31/2024),Series,Value
9/2020,RT,1.2555
10/2020,RT,1.2705
11/2020,RT,0.981
12/2020,RT,1.2298
1/2021,RT,0.8935
2/2021,RT,1.0372
3/2021,RT,0.973
4/2021,RT,0.3798
5/2021,RT,0.1982
6/2021,RT,0
7/2021,RT,0
8/2021,RT,0
9/2021,RT,0
10/2021,RT,0
11/2021,RT,0
12/2021,RT,0
1/2022,RT,0
2/2022,RT,0
3/2022,RT,0
4/2022,RT,0
5/2022,RT,0
6/2022,RT,0
7/2022,RT,0
8/2022,RT,0
9/2022,RT,0
10/2022,RT,0
11/2022,RT,0
12/2022,RT,0
1/2023,RT,0
2/2023,RT,0
3/2023,RT,0
4/2023,RT,0
5/2023,RT,0
6/2023,RT,0
7/2023,RT,0
8/2023,RT,0
9/2023,RT,0
10/2023,RT,0
11/2023,RT,0
12/2023,RT,0
1/2024,RT,0
2/2024,RT,0
3/2024,RT,0
4/2024,RT,0
5/2024,RT,0
6/2024,RT,0
7/2024,RT,0
8/2024,RT,0
9/2024,RT,0
10/2024,RT,0
